epoch,lr,train_loss,val_loss,train_acc,val_acc
1,0.03,1.5227748077634782,1.5778399128972749,0.4738624338624339,0.4587654320987654
2,0.0276,1.4375493628385836,1.5174987189563705,0.5185714285714286,0.4893827160493827
3,0.025392,1.3003770430882773,1.3908249226911569,0.5615873015873016,0.5237037037037037
4,0.023360640000000002,1.2126151846451734,1.3154473841631853,0.6084656084656085,0.568641975308642
5,0.0214917888,1.1967199742604815,1.307909080364086,0.6076190476190476,0.565679012345679
6,0.019772445696000004,1.1468967551024503,1.2744477029494297,0.6302116402116402,0.5819753086419753
7,0.018190650040320003,1.1319338413142654,1.2672442603405611,0.6316402116402117,0.5807407407407408
8,0.016735398037094406,1.1147971210151753,1.2571626984042885,0.6392063492063492,0.5832098765432099
9,0.015396566194126852,1.090243567840132,1.2401318021468175,0.65,0.5814814814814815
10,0.014164840898596704,1.0903214168927027,1.2456714216868083,0.6568253968253969,0.5879012345679012
11,0.013031653626708968,1.0603924585145617,1.2190229095647365,0.6658730158730158,0.6064197530864197
12,0.011989121336572253,1.0477343820642542,1.215057629832515,0.671058201058201,0.6017283950617284
13,0.011029991629646472,1.0388399486819273,1.2098128324084811,0.6761904761904762,0.6054320987654321
14,0.010147592299274756,1.0330342527798244,1.2073778973096683,0.6762433862433862,0.6096296296296296
15,0.009335784915332776,1.0219884762435993,1.20153562322075,0.6801587301587302,0.6091358024691358
16,0.008588922122106154,1.0089266830651218,1.1901247536694561,0.6878306878306878,0.6153086419753087
17,0.007901808352337662,1.003947580604957,1.1911799746972542,0.6908465608465608,0.6135802469135803
18,0.0072696636841506485,0.9945172013176812,1.183668508824007,0.6947089947089947,0.614567901234568
19,0.006688090589418597,0.9893875131657515,1.1816533250867585,0.6982539682539682,0.6125925925925926
20,0.00615304334226511,0.9829682489551564,1.1780195597071708,0.6995767195767196,0.6175308641975309
21,0.005660799874883901,0.9802724665308755,1.1758274032451488,0.7040740740740741,0.6197530864197531
22,0.0052079358848931894,0.9747780460276931,1.174578239535108,0.7043386243386244,0.6207407407407407
23,0.004791301014101735,0.9698236453596246,1.1708704113665922,0.7055026455026455,0.6212345679012345
24,0.004407996932973596,0.9675901945558174,1.1707804649258837,0.7056613756613757,0.6195061728395062
25,0.004055357178335709,0.9651209689826562,1.1704136632106923,0.7080952380952381,0.6219753086419753
