epoch,lr,train_loss,val_loss,train_acc,val_acc
1,0.03,1.7773114776611327,1.8206814527511597,0.3675,0.37
2,0.0276,1.6605115795135499,1.7257403135299683,0.4142857142857143,0.37833333333333335
3,0.025392,1.595305620602199,1.684608817100525,0.43785714285714283,0.385
4,0.023360640000000002,1.5515538719722204,1.655077576637268,0.49964285714285717,0.435
5,0.0214917888,1.5091366182054793,1.6298167705535889,0.5028571428571429,0.435
6,0.019772445696000004,1.4796867336545672,1.6102828979492188,0.5196428571428572,0.45
