epoch,lr,train_loss,val_loss,train_acc,val_acc
1,0.03,3.077499086516244,3.0206682682037354,0.2025,0.185
2,0.0276,2.0258326584952218,2.1446330547332764,0.3082142857142857,0.3016666666666667
3,0.025392,1.636004751750401,1.75773024559021,0.4139285714285714,0.38166666666666665
4,0.023360640000000002,1.6109761456080844,1.7569187879562378,0.44642857142857145,0.3983333333333333
5,0.0214917888,1.4285174247196744,1.610736608505249,0.49178571428571427,0.40166666666666667
6,0.019772445696000004,1.3474694068091255,1.5739202499389648,0.5028571428571429,0.41333333333333333
