epoch,lr,train_loss,val_loss,train_acc,val_acc
1,0.05,1.8502226509366717,1.8575495481491089,0.30607142857142855,0.2833333333333333
2,0.046000000000000006,1.6865800789424352,1.7439918518066406,0.3889285714285714,0.37333333333333335
3,0.04232,1.6066361502238682,1.6949766874313354,0.41678571428571426,0.38666666666666666
4,0.03893440000000001,1.5492625100272042,1.6535872220993042,0.4739285714285714,0.43166666666666664
5,0.035819648,1.5004144791194371,1.6234807968139648,0.5067857142857143,0.4583333333333333
6,0.032954076160000005,1.472075127192906,1.602733850479126,0.5,0.435
